站点编号	站点	网页链接	站点数	联系方式站点类型	站点名称（logo）/账号名称（Facebook）	联系方式类型	手机	固话	邮箱	联系人	职位	公司名称（抓取）	地址（抓取）	标签（Facebook）	粉丝数（Facebook）	企业名称（工商）	统一码（工商）	法人姓名（工商）	一级行业分类（工商）	二级行业分类（工商）	注册地址-省（工商）	注册地址-市（工商）	注册地址-区（工商）	注册地址（工商）	注册资本（工商）	成立时间（工商）	备案官网（工商）	优先级
159	natiddy.com	https://www.facebook.com/NaTiddyOfficial；https://natiddy.com/pages/contact-us	2	官方网站；Facebook	NaTiddy；NaTiddyofficial	邮箱	""	""	service@natiddy.com	""	""	""	""	泳池清洗工具	7	""	""	""	""	""	""	""	""	""	""	""	""	12
58	www.uoobox.com	https://www.facebook.com/uooboxstore/	1	Facebook	Uoobox	邮箱	""	""	uooboxservice@gmail.com	""	""	""	""	假发店	"""1,130"""	""	""	""	""	""	""	""	""	""	""	""	""	12
178	www.suprent-us.com	""	1	工商匹配	""	手机	86-13316289373	""	""	""	""	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	8
31	www.polyalien.com	https://www.facebook.com/p/Polyalien-online-100068092729704/?locale=zh_CN	1	Facebook	Polyalien-online	邮箱	""	""	service@polyalien.com	""	""	""	""	服装（品牌）	1.6万	""	""	""	""	""	""	""	""	""	""	""	""	12
10	www.miersports.com	https://www.facebook.com/MIER2008/	1	Facebook	MIER	邮箱	""	""	info@miersports.com	""	""	""	""	户外与体育用品公司	497	""	""	""	""	""	""	""	""	""	""	""	""	12
30	www.anibiu.com	https://www.facebook.com/anibiushop/?locale=zh_CN	1	Facebook	Anibiu	邮箱	""	""	anibiushop@gmail.com	""	""	"""Shenzhen Shengerwei Electronic Commerce Co., Ltd."""	""	服装（品牌）	6884	""	""	""	""	""	""	""	""	""	""	""	""	12
134	eskute.de	https://eskute.de	1	官方网站	Eskute DE	邮箱	""	""	business@eskute.com	""	""	""	"""Kirschgarten 20, 55116 Mainz, Mainz, Germany"""	产品/服务	3796	""	""	""	""	""	""	""	""	""	""	""	""	14
116	largeartcanvas.com	https://largeartcanvas.com/pages/contact-us	1	官方网站	LargeArtCanvas	邮箱	""	""	info@largeartcanvas.com	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	14
113	clottech.com	https://www.facebook.com/wesmart.smartclothing	1	Facebook	Wesmart	固话	""	86-075586566058	""	""	""	""	""	服装（品牌）	514	""	""	""	""	""	""	""	""	""	""	""	""	20
245	cn-fullmoonloom.glopalstore.com	https://cn-fullmoonloom.glopalstore.com/pages/customer-service；https://www.facebook.com/profile.php?id=100064681777281	2	官方网站；Facebook	Full Moon Loom；满月织机	邮箱	""	""	sales@fullmoonloom.com	""	""	""	""	家居装饰	3.4 万	""	""	""	""	""	""	""	""	""	""	""	""	12
180	ifanze.net	https://www.facebook.com/p/Ifanzenet-100071546700295/	1	Facebook	Ifanzenet	手机	16149083708	""	""	""	""	""	"""228 PARK AVE S 79525, York, NY, United States, New York"""	保健/美容	17	""	""	""	""	""	""	""	""	""	""	""	""	4
87	mogusuit.com	""	1	工商匹配	""	手机	86-13666692981	""	""	""	周	""	""	""	""	杭州铭科电子商务有限公司	91330108399937099F	吕国良	批发和零售业	零售业	浙江省	杭州市	滨江区	浙江省杭州市滨江区西兴街道缤纷街599号钱塘星宇大厦1幢901-6室	10.0	2014-06-05	""	8
24	lumeye.com	https://lumeye.com/collections/bestseller/products/lumeye-daisy-blue-colored-contact-lenses	1	官方网站	LUMEYE	邮箱	""	""	help@lumeye.com	""	""	""	""	美容、美妆与个人护理	771	""	""	""	""	""	""	""	""	""	""	""	""	14
170	vatidgroup.com	https://vatidgroup.com/pages/about-us	1	官方网站	Vatid	邮箱	""	""	marketing@vatidgroup.com	""	""	""	"""Downtown Fullerton, CA, United States, California"""	户外与体育用品公司	40	""	""	""	""	""	""	""	""	""	""	""	""	14
221	www.deegnt.com	""	1	工商匹配	""	手机	86-18237532927	""	""	""	郝	""	""	""	""	汝州市明晶商贸有限公司	91410482MA9FQPY703	郝欧洋	批发和零售业	零售业	河南省	平顶山市	汝州市	汝州市北环路427号	100.0	2020-09-18	""	8
36	www.mrimin.com	https://www.facebook.com/MriminClub/	1	Facebook	Mrimin	邮箱	""	""	service@mrimin.com	""	""	""	中国浙江省义乌市北苑街道厚福社区9栋5单元303室	品牌	20	""	""	""	""	""	""	""	""	""	""	""	""	12
139	aroham.net	https://www.facebook.com/people/Aroham/100066336105416/	1	Facebook	Aroham	邮箱	""	""	aroham@163.com	""	""	""	"""403 bay, Calf Creek, TX, United States, Texas""；Room 62, No. 418, Shatai South Road, Tianhe District, Guangzhou, China"	汽车	1092	""	""	""	""	""	""	""	""	""	""	""	""	12
6	www.u7jewelry.com	https://www.facebook.com/u7jewelry/；https://www.u7jewelry.com/pages/about-us	2	官方网站；Facebook	U7 Jewelry；U7 Jewelry	手机	18558881177	""	""	""	""	""	广东省中山市人民中镇朗王狮岭路（乐言幼儿园对面）；(Across From Leyan Kindergarten) Langwang Shiling Road, Minzhong Town, Zhongshan City, Guangdong Province, 528441 China	珠宝/手表	28万	""	""	""	""	""	""	""	""	""	""	""	""	4
123	www.ktvlights.com	""	1	工商匹配	""	手机	86-15380899353	""	""	""	马	""	""	""	""	南京迈席森文化传播有限公司	91320111339389860D	马进	文化、体育和娱乐业	文化艺术业	江苏省	南京市	浦口区	南京市浦口区江浦街道凤凰大街10号-1212	1000.0	2015-07-10	""	8
68	diamondpaintingpro.com	https://diamondpaintingpro.com/pages/contact-us；https://www.facebook.com/p/Diamond-Painting-Pro-100068359854817/?locale=hi_IN&paipv=0&eav=AfaO0_RQ693xjo_KcG64YygbQinI2tNQXBdw0eFAvu3xeQA4bb0PY6pfxAZe8eDd-Fo&_rdr	2	官方网站；Facebook	Diamond Painting Pro ；Diamondpaintingpro	邮箱	""	""	support@diamondpaintingpro.com	""	""	""	""	家居装饰	584	""	""	""	""	""	""	""	""	""	""	""	""	12
93	idnhair.com	https://idnhair.com/pages/contact；https://www.facebook.com/IDNHAIR/	2	官方网站；Facebook	IDN HAIR ；Idnhair	邮箱	""	""	service@idnhair.com	""	""	""	""	假发店	55	""	""	""	""	""	""	""	""	""	""	""	""	12
159	natiddy.com	https://natiddy.com/pages/contact-us	1	官方网站	NaTiddy	邮箱	""	""	marketing@natiddy.com	""	""	""	""	泳池清洗工具	7	""	""	""	""	""	""	""	""	""	""	""	""	14
71	www.unihandmade.com	https://www.facebook.com/unihandmadebag/	1	Facebook	Unihandmade	邮箱	""	""	info@unihandmade.com	""	""	""	""	行李箱包	691	""	""	""	""	""	""	""	""	""	""	""	""	12
265	de.glassdippen.com	https://www.facebook.com/glassdippen	1	Facebook	HoneyGlass	邮箱	""	""	honeyglass@yahoo.com	""	""	""	"""Bangkok, Thailand, Bangkok"""	产品/服务	"""1,894"""	""	""	""	""	""	""	""	""	""	""	""	""	12
23	www.flashfishtech.com	https://www.facebook.com/FFlashfish/	1	Facebook	FF Flashfish	邮箱	""	""	info@flashfishtech.com	""	""	三宝香港电子有限公司	香港旺角弥敦道 707-713 号 SIL VERCORP INTERNATIONAL TOWER 9/F FLAT/RM A	电子商务网站	5053	""	""	""	""	""	""	""	""	""	""	""	""	12
149	fashionlovehunter.com	https://fashionlovehunter.com/pages/contact-us	1	官方网站	FashionLoveHunter	手机	15045355338	""	""	""	""	""	801, Rujun Building, 105 Zhongxing Road, Ma'antang Community, Bantian Street, Longgang District, Shenzhen City,Guangdong Province,    China；	产品/服务	208	""	""	""	""	""	""	""	""	""	""	""	""	6
32	bottlebottle.com	https://bottlebottle.com；https://www.facebook.com/bottlebottleofficial/	2	官方网站；Facebook	bottlebottle；BottleBottle	邮箱	""	""	contact@bottlebottle.com	""	""	""	""	零售购物	2.1万	""	""	""	""	""	""	""	""	""	""	""	""	12
260	uk.freyara.com	https://www.facebook.com/freyarabeauty/	1	Facebook	FREYARA	邮箱	""	""	service@freyara.com	""	""	""	""	美容、美妆与个人护理	10 万	""	""	""	""	""	""	""	""	""	""	""	""	12
250	sc.nextcigar.com	https://www.facebook.com/nextcigar/	1	Facebook	nextCIGAR	固话	""	085291630069	""	""	""	""	""	烟草商店	"""1,531"""	""	""	""	""	""	""	""	""	""	""	""	""	20
196	www.easyoutdoor.club	https://www.easyoutdoor.club/pages/contact-us	1	官方网站	EasyOutdoor	固话	""	02524911537	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	22
240	jp.flextail.com	https://www.facebook.com/FlextailJapan/?paipv=0&eav=AfYwKAOUcrV1PZjrJCUD6Z-3e8jy4HWUcox3wM_yJ9syqxVG3fmQpq7PXzvlskeuQdo&_rdr	1	Facebook	Flextail Japan	邮箱	""	""	jpstore@flextailgear.com	""	""	""	""	户外与体育用品公司	8	""	""	""	""	""	""	""	""	""	""	""	""	12
38	www.mybange.com	https://www.facebook.com/Mybange/	1	Facebook	Bange	邮箱	""	""	service@mybange.com	""	""	""	"""BANGE , No. 16 Nanhe Second Street, Shiling Town Guangzhou, 510800 Guangdong, China"""	零售购物	162	""	""	""	""	""	""	""	""	""	""	""	""	12
187	www.puresmusic.com	https://www.facebook.com/puresmusic	1	Facebook	PureDrum空靈鼓	邮箱	""	""	support@puresmusic.com	""	""	""	""	产品/服务	3.9万	""	""	""	""	""	""	""	""	""	""	""	""	12
123	www.ktvlights.com	https://www.facebook.com/Ktvlights	1	Facebook	Ktvlights	邮箱	""	""	service@ktvlights.com	""	""	南京迈席森文化传播有限公司	""	灯具店	7125	南京迈席森文化传播有限公司	91320111339389860D	马进	文化、体育和娱乐业	文化艺术业	江苏省	南京市	浦口区	南京市浦口区江浦街道凤凰大街10号-1212	1000.0	2015-07-10	""	12
195	kxkshop.com	https://www.facebook.com/p/KXK-Custom-Jerseys-100083578711962/；https://kxkshop.com/pages/contact-us	2	官方网站；Facebook	KXKSHOP；KXK Custom Jerseys	固话	""	085268428264	""	""	""	""	UNIT 917B, 9/F., TOWER A, NEW MANDARIN PLAZA,NO.14 SCIENCE MUSEUM ROAD, TSIMSHATSUI, KOWLOON, Hong Kong(This is not a returning address)；	运动队	58	""	""	""	""	""	""	""	""	""	""	""	""	20
148	www.egccstudio.com	https://www.facebook.com/p/Egccstudio-100078761236179/	1	Facebook	Egccstudio	邮箱	""	""	cs@egccstudio.com	""	""	""	""	服装店	26	""	""	""	""	""	""	""	""	""	""	""	""	12
103	staroar.com	https://www.facebook.com/StaroarDP/；https://staroar.com/pages/about-us	2	官方网站；Facebook	Staroar Diamond Painting；Staroar	邮箱	""	""	service@staroar.com	""	""	""	""	艺术	2585	""	""	""	""	""	""	""	""	""	""	""	""	12
244	cn.klassik.dk	https://www.facebook.com/klassikwarehouse/?locale=zh_CN	1	Facebook	KLASSIK WAREHOUSE	邮箱	""	""	warehouse@klassik.dk	""	""	""	"""Amager Landevej 233, Copenhagen, Denmark"""	家具店	149	""	""	""	""	""	""	""	""	""	""	""	""	12
28	www.piggoods.com	https://www.facebook.com/p/Piggoods-100064776858953/?paipv=0&eav=AfYQwUZ9nXehbTVwEKYgd4n3w96bo4FBXE27uVbHt3GtOs8KH5imXrqVCwnOOWkfnG8&_rdr	1	Facebook	Piggoods	邮箱	""	""	abc@piggoods.com	""	""	""	""	产品/服务	266	""	""	""	""	""	""	""	""	""	""	""	""	12
121	velosan.com	https://velosan.com/pages/about-us	1	官方网站	VELOSAN	邮箱	""	""	help@velosan.com	""	""	""	""	厨房/烹饪	17	""	""	""	""	""	""	""	""	""	""	""	""	14
87	mogusuit.com	https://mogusuit.com/pages/about-us；https://www.facebook.com/mogusuit/	2	官方网站；Facebook	MOGU SUIT；MOGU SUIT	邮箱	""	""	service@mogusuit.com	""	""	；HangZhou MingKe E-Commerce Co., Ltd	China · 浙江 · 杭州滨江区西兴街道缤纷街599号钱塘星宇大厦1幢901-6；901-6 room bulding 1 qiantangxing yu plaza, 599 binfeng road xi xing street binjiang zone, hangzhou, Zhe Jiang, China	男装店	536	杭州铭科电子商务有限公司	91330108399937099F	吕国良	批发和零售业	零售业	浙江省	杭州市	滨江区	浙江省杭州市滨江区西兴街道缤纷街599号钱塘星宇大厦1幢901-6室	10.0	2014-06-05	""	12
129	thesunnyzone.com	https://www.facebook.com/thesunnyzone	1	Facebook	Thesunnyzone	固话	""	04709339494	""	""	""	""	""	产品/服务	9081	""	""	""	""	""	""	""	""	""	""	""	""	20
41	yourphotosocks.com	https://yourphotosocks.com/pages/contact-us	1	官方网站	Yourphotosocks	邮箱	""	""	yourphotosocks@gmail.com	""	""	""	244 MADISON AVENUE,；"244 MADISON AVENUE,SUITE 1666,NEW YORK NY 10016,US"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	14
172	homeinnkprint.com	https://homeinnkprint.com/pages/coutact-us；https://www.facebook.com/homeinnkprint/	2	官方网站；Facebook	Homeinnk Print	邮箱	""	""	support@homeinnkprint.com	""	""	""	"""Tsuen Wan, Hong Kong"""	零售购物	7	""	""	""	""	""	""	""	""	""	""	""	""	12
35	www.kokolu.eco.com	https://www.facebook.com/kokolu.eco/	1	Facebook	Kokolu	邮箱	""	""	contact@kokolu.eco	""	""	""	广东省东莞市南城区科创路96号国际商务园1栋302	服装（品牌）	866	""	""	""	""	""	""	""	""	""	""	""	""	12
149	fashionlovehunter.com	https://www.facebook.com/fashionlovehunterofficial/；https://fashionlovehunter.com/pages/contact-us	2	官方网站；Facebook	FashionLoveHunter；FashionLove	邮箱	""	""	service@fashionlovehunter.com	""	""	""	801, Rujun Building, 105 Zhongxing Road, Ma'antang Community, Bantian Street, Longgang District, Shenzhen City,Guangdong Province,    China；	产品/服务	208	""	""	""	""	""	""	""	""	""	""	""	""	12
27	playvital.com	https://www.facebook.com/PlayVitalGaming/	1	Facebook	PlayVital	邮箱	""	""	sns@playvital.com	""	""	""	中国广东省深圳市宝安区前进一路86号深信泰丰大厦1302室	电子游戏	358	""	""	""	""	""	""	""	""	""	""	""	""	12
60	www.bernywatch.com	https://www.facebook.com/BernyWatch/	1	Facebook	Berny Watch	邮箱	""	""	bernywatch@hotmail.com	""	""	""	"""12 / F, Berny Building, Fangyuan Road, Ma Tian Street, Guangming District, China · 广东 · 深圳"""	珠宝/手表	74	""	""	""	""	""	""	""	""	""	""	""	""	12
20	www.varnail.com	https://www.facebook.com/varnailcom/	1	Facebook	VARNAIL	固话	""	04154849727	""	""	""	""	""	美容、美妆与个人护理	3387	""	""	""	""	""	""	""	""	""	""	""	""	20
37	baltanywatch.com	https://www.facebook.com/BaltanyOfficial/	1	Facebook	Baltany watches	邮箱	""	""	info@baltany.com	""	""	""	""	珠宝/手表	160	""	""	""	""	""	""	""	""	""	""	""	""	12
216	cafevolcan.com	https://cafevolcan.com/pages/about-us	1	官方网站	Café del Volcán	邮箱	""	""	rik@cafevolcan.com	""	""	""	""	食品与饮料公司	65	""	""	""	""	""	""	""	""	""	""	""	""	14
137	www.customodish.com	https://www.facebook.com/Customodish/	1	Facebook	Customodish	固话	""	085230623002	""	""	""	""	"""56 Hoi Yuen Rd, Kowloon, Hong Kong"""	礼品店	138	""	""	""	""	""	""	""	""	""	""	""	""	20
39	www.binize.com	https://www.facebook.com/BinizeOfficial/	1	Facebook	Binize	邮箱	""	""	binizeofficial@gmail.com	""	""	""	"""Room 1302, Building 2, Beichen Building, No. 366, Jinjing Road, Beichen District, Tianjin China 300400"""	电子产品	3656	""	""	""	""	""	""	""	""	""	""	""	""	12
169	www.uinfootwear.sg	https://www.facebook.com/uinfootwearsingapore/?ref=pages_you_manage	1	Facebook	UIN Footwear Singapore	固话	""	02085277388	""	""	""	Guangzhou Stylesea E-business Co.,Ltd；	；Room 1102, Block B 87 Huacheng Avenue, Tianhe District, Gaode Plaza, Tianhe Guangzhou, 510000 Guangdong, China (this is not a returning address)	品牌	1.8万	""	""	""	""	""	""	""	""	""	""	""	""	20
132	jjleatherhouse.com	https://jjleatherhouse.com/pages/contact-us；https://www.facebook.com/JJleatherhouse/	2	官方网站；Facebook	JJleatherhouse；JJLeatherHouse	邮箱	""	""	info@jjleatherhouse.com	""	""	""	""	电子商务网站	541	""	""	""	""	""	""	""	""	""	""	""	""	12
9	csnoobs.com	https://csnoobs.com/pages/contact-us	1	官方网站	Csnoobs Online Store	邮箱	""	""	service@csnoobs.com	""	""	""	Kai Fu Qu, Jin se bi hua li #21-101 Changsha, Hunan, China；	家具店	11	""	""	""	""	""	""	""	""	""	""	""	""	14
115	suchoutdoor.com	https://suchoutdoor.com/pages/about-us；https://www.facebook.com/SuchOutdoor	2	官方网站；Facebook	SuchOutdoor	邮箱	""	""	service@suchoutdoor.com	""	""	""	美国纽约州纽约	家居用品	2711	""	""	""	""	""	""	""	""	""	""	""	""	12
247	uk.alvantor.com	https://www.facebook.com/alvantor	1	Facebook	Alvantor	邮箱	""	""	sale@alvantor.com	""	""	"""ALVANTOR INDUSTRY CO., LTD."""	"""1931 Santa Anita Ave, South El Monte, CA, United States, California"""	零售购物	"""5,634"""	""	""	""	""	""	""	""	""	""	""	""	""	12
244	cn.klassik.dk	https://www.facebook.com/klassikwarehouse/?locale=zh_CN	1	Facebook	KLASSIK WAREHOUSE	固话	""	04533339060	""	""	""	""	"""Amager Landevej 233, Copenhagen, Denmark"""	家具店	149	""	""	""	""	""	""	""	""	""	""	""	""	20
253	cn-butlerluxury.glopalstore.com	https://www.facebook.com/ButlerLuxury/	1	Facebook	Butler Luxury	邮箱	""	""	customerservice@butlerluxury.com	""	""	""	""	产品/服务	"""2,056"""	""	""	""	""	""	""	""	""	""	""	""	""	12
15	magicshine.com	https://www.facebook.com/MagicshineLighting/；https://magicshine.com/pages/magicshine-customer-survey	2	官方网站；Facebook	Magicshine Store；Magicshine	邮箱	""	""	support@magicshine.com	""	""	""	美国俄勒冈州阿什兰 97520	户外与体育用品公司	6.3万	""	""	""	""	""	""	""	""	""	""	""	""	12
94	yecooboard.com	https://yecooboard.com/pages/about-orders	1	官方网站	Yecoo Board	邮箱	""	""	contact@company.com	""	""	""	""	户外与体育用品公司	"""1,565"""	""	""	""	""	""	""	""	""	""	""	""	""	14
24	lumeye.com	https://www.facebook.com/lumeyecom/	1	Facebook	Lumeye	邮箱	""	""	service@lumeye.com	""	""	""	""	美容、美妆与个人护理	771	""	""	""	""	""	""	""	""	""	""	""	""	12
109	mooncosya.com	https://mooncosya.com/pages/about-us	1	官方网站	MoonCos	邮箱	""	""	contact@mooncosya.com	""	""	""	""	演出服装店	11	""	""	""	""	""	""	""	""	""	""	""	""	14
178	www.suprent-us.com	""	1	工商匹配	""	固话	""	86-02031123605	""	法人	卢	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	17
71	www.unihandmade.com	https://www.facebook.com/unihandmadebag/	1	Facebook	Unihandmade	手机	86-15153187700	""	""	""	""	""	""	行李箱包	691	""	""	""	""	""	""	""	""	""	""	""	""	4
226	domiamia.com	https://domiamia.com/pages/about-domiamia	1	官方网站	Domiamia	邮箱	""	""	business@domiamia.com	""	""	""	""	婴幼儿童装店	419	""	""	""	""	""	""	""	""	""	""	""	""	14
55	aolithium.com	https://aolithium.com/pages/contact-us	1	官方网站	Aolithium®-US	固话	""	06152666774	""	""	""	Aolithium Inc；	1401 21ST STREET SUITE RSACRAMENTO, CA 95811-5226；1401 21ST STREET SUITE R	太阳能服务	443	""	""	""	""	""	""	""	""	""	""	""	""	22
47	yandwofficial.com	https://www.facebook.com/YANDWOFFICIAL/	1	Facebook	YANDW	邮箱	""	""	info@yandwofficial.com	""	""	""	"""361 Falls Rd #7088, Grafton, WI 53024, USA (not return address)""；361 Falls Rd #7088, Grafton, WI 53024, USA (not return address)"	服装（品牌）	""	""	""	""	""	""	""	""	""	""	""	""	""	12
16	achedaway.com	https://achedaway.com/pages/contact-us；https://www.facebook.com/achedaway/	2	官方网站；Facebook	Achedaway；Achedaway	邮箱	""	""	info@achedaway.com	""	""	""	""	产品/服务	1330	""	""	""	""	""	""	""	""	""	""	""	""	12
4	www.firmabs.com	""	1	工商匹配	""	邮箱	""	""	yqm@firmabs.com	""	""	""	""	""	""	马甲线（深圳）服饰有限公司	91440300MA5FTXTC02	周星彤	批发和零售业	零售业	广东省	深圳市	南山区	深圳市南山区桃源街道平山社区丽山路65号平山民企科技园3栋401	100.0	2019-09-25	firmabs.com.cn	16
156	liebeart.de	https://www.facebook.com/Liebeartde/；https://liebeart.de	2	官方网站；Facebook	Liebeart；Liebeart.de	邮箱	""	""	info@liebeart.de	""	""	""	""	零售购物	1348	""	""	""	""	""	""	""	""	""	""	""	""	12
98	https://oakiron.tech/	https://oakiron.tech/pages/about-us；https://www.facebook.com/OakIronUSA/	2	官方网站；Facebook	OAK & IRON TECH ；OAK & IRON Tech	邮箱	""	""	support@oakiron.tech	""	""	""	"""National CT, Roslyn, NY, United States, New York"""	汽车、飞机与船只	195	""	""	""	""	""	""	""	""	""	""	""	""	12
23	www.flashfishtech.com	https://www.facebook.com/FFlashfish/	1	Facebook	FF Flashfish	手机	18183381878	""	""	""	""	三宝香港电子有限公司	香港旺角弥敦道 707-713 号 SIL VERCORP INTERNATIONAL TOWER 9/F FLAT/RM A	电子商务网站	5053	""	""	""	""	""	""	""	""	""	""	""	""	4
